"%s days","%s giorni"
"Access denied!","Accesso negato!"
"Account Information","Informazioni Account"
"Action is blocked in quote confirmation mode","L'azione e' bloccata in modalità di conferma preventivo"
"Add to Cart","Aggiungi al carrello"
"Add to Quote","Aggiungi a Preventivo"
"Address","Indirizzo"
"All items were moved to cart successfully.","Tutti gli elementi sono stati spostati nel carrello!"
"Allowed to Quote Mode","Autorizzato alla modalita' preventivo."
"Atr. nr.","Sku"
"Back to My Quotes","Torna ai miei preventivi"
"Be advised to enter your comments","Essere informati per inserire i tuoi commenti, le quantita' desiderate e dettagli solo quando hai finito lo shopping. Queste informazioni andranno perse quando si esce da questa schermata senza inviare la tua richiesta. Se hai già un account con noi, fai prima il login."
"Billing address wasn't added","Informazioni di fatturazione aggiunte"
"By deleting an item, you will create a new quote request. Do you want to do this?","Con l'eliminazione di un elemento, si creera' una nuova richiesta di preventivo. Vuoi procedere?"
"Can not add client note request to the product.","Non e' possibile aggiungere le note richieste dal cliente."
"Can not add customer address.","Non e' possibile aggiungere l'indirizzo del cliente."
"Can not add one of the items to quote request.","Non si puo' aggiungere uno dei prodotti alla richiesta di preventivo"
"Can't remove item","Non puoi rimuovere l'elemento"
"Can't update quote list","Non puoi aggiornare il preventivo"
"Cancel","Cancella"
"cart2quote cancel","cart2quote cancellato"
"cart2quote new account","cart2quote nuovo account"
"cart2quote proposal","cart2quote proposta"
"cart2quote reject","cart2quote rifiutato"
"cart2quote request","cart2quote nuova richiesta"
"Checking..","controllo.."
"City","Citta'"
"Company","Azienda"
"Confirm and CheckOut","Conferma "
"Continue","Continua"
"Continue Shopping","Continua lo shopping"
"Country","Paese"
"Customer email already exists. You should login <a href=%s>here</a>","email cliente gia' esistente. Devi effettuare il login <a href=%s>qui</a>"
"Date","Data"
"Date of Proposal","Data preventivo"
"Default Address","Indirizzo di default"
"Do you have a general remark with your quote request?","Hai richieste da allegare alla tua richiesta di preventivo?"
"Edit Quote","Modifica preventivo"
"Edit Request","Modifica preventivo"
"Email Address","Indirizzo email"
"Email already exists","Indirizzo mail già esistente"
"Enter your destination to get a shipping quotation","Inserisci il tuo indirizzo per ricevere il preventivo"
"Enter your destination to receive a shipping quotation.","Inserisci I tuoi dettagli per avere una proposta di prezzo"
"Fax","Fax"
"First Name","Nome"
"Fixed Shipping & Handling price","Spedizione a prezzo fisso."
"Information by Quote request avaliable by link below","Informazioni per la richiesta di preventivo disponibili qui sotto"
"Item %s wasn't  moved to Shopping cart","Il prodotto %s non è stato spostato nel carrello"
"Item %s wasn't  removed from Quote mode","Il prodotto %s non è stato rimosso dal preventivo"
"Item was deleted successfully.","Prodotto cancellato correttamente."
"Item was moved to cart successfully.","Prodotto spostato in carrello correttamente."
"Item was moved to quote successfully.","Prodotto spostato in preventivo correttamente."
"Item(s) were moved from Quote to Order mode successfully.","I prodotti sono stati spostati dal preventivo al carrello correttamente."
"Items Quoted","Elementi richiesti"
"Last Name","Cognome"
"Log in and <a href='%s'>click on to View Quote.</a>","Login e <a href='%s'>clicca vedi preventivo.</a>"
"My Quote list","La mia richiesta di preventivo"
"My quote request","La mia richiesta di preventivo"
"My quote request (%s item)","La mia richiesta di preventivo (%s elementi)"
"My quote request (%s items)","La mia richiesta di preventivo (%s elementi)"
"My Quotes","I miei preventivi"
"New Address","Nuovo indirizzo"
"No item in quote.","Nessun elemento della lista del preventivo"
"No Items to display.","Nessun elemento da visualizzare"
"Original Price","Prezzo originale"
"Owner price","Proprio prezzo"
"Please enter an valid email address","Prego inserire un indirizzo mail valido"
"Please select region, state or province","Prego selezionare regione, stato o provincia"
"Please select required qty and check out online to see applicable price.","Si prega di selezionare la quantita' voluta e conferma per vedere I prezzi applicati."
"Please specify product quantity.","Prego specificare la quantità"
"Price Proposal","Proposta di prezzo"
"Print Quote","Stampa Preventivo"
"Product %s successfully added to Quote Request","Il prodotto %s è stato correttamente aggiunto alla richiesta di preventivo"
"Product %s was deleted from your shopping cart","Il prodotto %s è stato cancellato dal carrello"
"Product Name","Nome prodotto"
"Proposal valid until","Proposta valida fino"
"Proposal Valid Until: %s","Proposta valida fino: %s"
"Qquote cancel email was't sent to admin for quote #%s","La mail di cancellazione preventivo non e' stata inviata all'admin #%s"
"Qquote proposal email was't sent to the client for quote #%s","La mail di richiesta preventivo non e' stata inviata al cliente #%s"
"Qquote request email was't sent to admin for quote #%s","La mail di richiesta preventivo non e' stata inviata all'admin #%s"
"Qty","Qta'"
"Quotation # %s","Preventivo # %s"
"Quotation #%s - Proposal","Richiesta preventivo #%s"
"Quotation #%s was rejected","Preventivo #%s e' stato rifiutato."
"Quotation Date: %s","Data di richiesta preventivo: %s"
"Quote","Richiedi per preventivo"
"Quote #","Preventivo #"
"Quote #%s","Richiesta preventivo #%s"
"Quote List","Lista Preventivo"
"Quote list was updated successfully.","La lista del preventivo e' stata aggiornata."
"Quote mode","Modalita' preventivo"
"Quote Proposal","Richiesta di Preventivo"
"Quote Request in Process, wait for price proposal Shop owner","Richiesta di Preventivo in processo, aspetta il preventivo dal proprietario dello store"
"Quote request information","Richiesta informazioni preventivo"
"Quote shipping proposal from owner","Proposta spedizione"
"Quote Status","Stato richiesta preventivo"
"Reject Proposal","Rifiuta proposta"
"Remark with Proposal","Commenti e richieste"
"Remove","Rimuovi"
"Remove item","Rimuovi elemento"
"Request for Quote","Richiedi per preventivo"
"Request information","Commenti e richieste"
"Request quote","Conferma richiesta di preventivo"
"Requested information","Commenta"
"Required Fields","Campi Richiesti"
"Resubmit Quote","Richiedi nuovamente preventivo"
"ship to:","inviare a:"
"Shipping & Handling price per product per Unit","Spedizione a prezzo fisso."
"Shipping & Handling price varies.","Spedizione a prezzo variabile."
"Shipping Address","Indirizzo di spedizione"
"Shipping details","Dettagli spedizione"
"Shipping Method","Metodo di spedizione"
"State/Province","Stato/Provincia"
"Status","Stato"
"STATUS_BEGIN","Inizio"
"STATUS_CANCELED","Proposta cacellata"
"STATUS_CONFIRMED","Proposta confermata"
"STATUS_DENIED","Proposta negata"
"STATUS_PROPOSAL","Proposta inviata"
"STATUS_PROPOSAL_EXPIRED","Proposta scaduta"
"STATUS_PROPOSAL_SAVED","Proposta salvata"
"STATUS_REJECTED","Cancellato"
"STATUS_REQUEST","Processo"
"STATUS_REQUEST_EXPIRED","Preventivo scaduto"
"Switch to Order mode","Cambia in modalità carrello"
"Switch to Quote mode","Cambia in modalità preventivo"
"TAX","TAX"
"Telephone","Telefono"
"Thank you for your interest!","Grazie per il tuo interesse!"
"Thanks for your Quote request.","Grazie per la tua richiesta di preventivo."
"The address was successfully saved","l'indirizzo e' stato salvato"
"There are <a href=%s><strong>%s items</strong></a> in your quote list.","Ci sono <a href=%s><strong>%s prodotti</strong></a> nella richiesta di preventivo."
"There is <a href=%s><strong>1 item</strong></a> in your quote list.","C'e'  <a href=%s><strong>1 prodotto</strong></a> nella tua richiesta di preventivo."
"The following item will not be added to the quotation list if you continue:","I seguenti prodotti non saranno aggiunti alla richiesta id preventivo se continui:"
"This order list contains items that cannot quoted.","Il carrello contiene elementi che non possono essere preventivati."
"To add item to the Quote mode <a href='%s'>log out</a> from Quote confirmation mode.","Per aggiungere un prodotto al preventivo <a href='%s'>log out</a> dalla modalita' di conferma preventivo."
"To add item to the Quote mode <a href='%s'>switch the shopping cart to Quote mode.</a>","Per aggiungere un prodotto al preventivo <a href='%s'> cambia la modalita' acquisto in modalita' preventivo.</a>"
"To add item to the Shopping cart <a href='%s'>log out</a> from Quote confirmation mode.","Per aggiungere prodotti alla modalita' di acquisto <a href='%s'>Effettua il log out</a> dalla modalita' di conferma preventivo."
"To add item to the Shopping cart <a href='%s'>log out</a> from Quote confirmation mode.","Per aggiornare prodotti alla modalita' acquisto <a href='%s'>log out</a> dalla modalità di conferma preventivo."
"To add product to the Order mode <a href='%s'>switch the Shopping cart to Order mode.</a>","Per aggiungere prodotti in modalita' ordine <a href='%s'>cambia la modalita' carrello in modalita' ordine.</a>"
"TO:","A:"
"Unable to send email.","Impossibile inviare la mail"
"Unit price","Prezzo unitario"
"Unknown exception","Eccezione sconosciuta"
"View Quote","Vedi preventivo"
"You are in a quote confirmation mode, <a href='%s'>log out</a>.","Sei nella modalità di conferma preventivo, <a href='%s'>log out</a>."
"You have placed no quotes.","Non hai ancora richiesto un preventivo."
"You log out successfully from Quote confirmation mode.","Hai effettuato correttamente il logout dalla modalita' di conferma preventivo."
"You will receive a quote confirmation email with a link to track progress.","Riceverai una mail di conferma con un link per tracciare I progressi."
"You're welcome to place a new Request for Quote","Sei il benvenuto per la richiesta di un nuovo preventivo"
"Your order list contains items that cannot quoted.","Il tuo carrello contiene elementi che non possono essere preventivati."
"Your quote has been canceled","Il tuo preventivo e' stato cancellato"
"Your quote has been received","Il tuo preventivo e' stato ricevuto"
"Your quote list contains items that cannot ordered.","Il tuo preventivo contiene elementi che non possono essere ordinati."
"Your quote request has been received","La tua richiesta di preventivo e' stata ricevuta."
"Your quote request has been submitted successfully.","La tua richiesta di preventivo e' stata inviata."
"Your shopping cart will be changed to Quote Request if you continue.","Il tuo carrello verrà cambiato in preventivo se continui"
"Zip/Postal Code","Codice Postale"
"Add Qty","""Aggiungi quantità"""
"enter your address","""inserisci il tuo indirizzo"""
"enter your city","""inserisci la tua città"""
"enter your Zip","""Inserisci il codice Postale"""
"enter your state","""Inserisci lo stato"""
"Request a shipping quote","""Richiedi l'invio del preventivo"""
"Total price","""Prezzo totale"""
"Move to Shopping cart","""Muovi in carrello acquisti"""
"Move to shopping cart?","Muovere nel carrello acquisti?"
"This quote list contains items that cannot ordered.","""Questo preventivo contiene elementi che non posso essere preventivati."""
"This item will be removed from the list if you continue:","I seguenti elementi saranno eliminati dal preventivo se continui:"
"Cancel Action","Cancella"
"Continue Action","Continuare"
"Copy to Quotation","Copia in preventivo"
"Copy to Quotation?","Copiare in preventivo?"
"Copy to Quotation","Copia in preventivo"
"Cannot update the item.","Cannot update the item."
"Quote item is not found.","Quote item is not found."
"Cannot configure product.","Cannot configure product."
"Edit", "Edit"
"in process...", "in process..."
"My Quote", "My Quote"
"My Quote (%s items)", "My Quote (%s items)"
"My Quote (%s item)", "My Quote (%s item)"
"Your quote request # is: %s.", "Your quote request # is: %s."
"Tier/Qty","Tier/Qty"
"Coupon code "%s" is applied","Coupon code "%s" is applied"
"Coupon code "%s" could not be applied","Coupon code "%s" could not be applied"
"Coupon code could not be applied","Coupon code could not be applied"
"-- Select Coupon --","-- Select Coupon --"
"-- Remove Coupon --","-- Remove Coupon --"
"Could not load Coupon Code","Could not load Coupon Code"
"Discount (%s)","Discount (%s)"
"Subtotal Original (%s)","Subtotal Original (%s)"
"Quote subtotal (%s)","Quote subtotal (%s)"
"Adjustment Quote (%s)","Adjustment Quote (%s)"
"Quote profit","Quote profit"
"'Coupon Type \'%s\' not supported'","'Coupon Type \'%s\' not supported'"
