"%s days","%s días"
"Access denied!","¡Acceso denegado!"
"Account Information","Información de cuenta"
"Action is blocked in quote confirmation mode","La acción está bloqueada en el modo de confirmación de presupuesto"
"Add to Cart","Añadir al carrito de la compra"
"Add to Quote","Añadir al presupuesto"
"Address","Dirección"
"All items were moved to cart successfully.","Todos los artículos han sido movidos correctamente al carrito de la compra."
"Allowed to Quote Mode","Permitido el modo de presupuesto"
"Atr. nr.","Sku"
"Back to My Quotes","Volver a mis presupuestos"
"Be advised to enter your comments","Le sugerimos que introduzca su comentarios, cantidades deseadas y detalles únicamente en el momento en que esté realizando la compra. La información se perderá en el momento de salir de esta pantalla sin haber cursado su solicitud. Si usted tiene una cuenta con nosotros, por favor, acceda primero."
"Billing address wasn't added","La dirección de facturación no ha sido añadida"
"By deleting an item, you will create a new quote request. Do you want to do this?","Eliminando un artículo, generará una nueva solicitud de presupuesto. ¿Desea hacerlo?"
"Can not add client note request to the product.","No puede añadirse al producto la solicitud de nota de cliente."
"Can not add customer address.","No se puede añadir la dirección de cliente."
"Can not add one of the items to quote request.","No se puede añadir uno de los artículos a la solicitud de presupuesto."
"Can't remove item","No se puede eliminar el artículo"
"Can't update quote list","No se puede actualizar la solicitud de presupuesto"
"Cancel","Cancelar"
"cart2quote cancel","cancelar cart2quote"
"cart2quote new account","nueva cuenta cart2quote"
"cart2quote proposal","propuesta cart2quote"
"cart2quote reject","rechazar cart2quote"
"cart2quote request","nueva solicitud cart2quote"
"Checking..","Comprobando.."
"City","Ciudad"
"Company","Empresa"
"Confirm and CheckOut","Confirmar y salir"
"Continue","Continuar"
"Continue Shopping","Continuar con la compra"
"Country","País"
"Customer email already exists. You should login <a href=%s>here</a>","El e-mail de cliente ya existe. Debería acceder <a href=%s>here</a>"
"Date","Fecha"
"Date of Proposal","Fecha de la propuesta"
"Default Address","Dirección por defecto"
"Do you have a general remark with your quote request?","¿Tiene algún comentario general que hacer a la solicitud de presupuesto?"
"Edit Quote","Editar presupuesto"
"Edit Request","Edit Request"
"Email Address","Dirección de correo electrónico"
"Email already exists","La dirección de correo electrónico ya existe"
"Enter your destination to get a shipping quotation","Introduzca su dirección de destino para obtener el presupuesto de envío"
"Enter your details to get a price proposal","Introduzca los detalles para obtener una propuesta de precios"
"Fax","Fax"
"First Name","Nombre"
"Fixed Shipping & Handling price","Precio fijo de envío y manipulación"
"Information by Quote request avaliable by link below","La información de presupuesto requerida está disponible en el siguiente enlace"
"Item %s wasn't  moved to Shopping cart","El artículo %s no ha sido movido al carrito de la compra"
"Item %s wasn't  removed from Quote mode","El artículo %s no ha sido eliminado del modo de presupuesto"
"Item was deleted successfully.","El artículo ha sido correctamente borrado."
"Item was moved to cart successfully.","El artículo ha sido correctamente movido al carrito de la compra."
"Item was moved to quote successfully.","El artículo ha sido correctamente movido al presupuesto."
"Item(s) were moved from Quote to Order mode successfully.","El/los artículo(s) ha(n) sido movido(s) correctamente del presupuesto al modo de pedido."
"Items Quoted","Artículos requeridos"
"Last Name","Apellido"
"Log in and <a href='%s'>click on to View Quote.</a>","Acceda y <a href='%s'>haga click en ver presupuesto.</a>"
"My Quote list","Mi lista de precios"
"My quote request","Mi solicitud de presupuesto"
"My quote request (%s item)","Mi solicitud de presupuesto (%s item)"
"My quote request (%s items)","Mi solicitud de presupuesto (%s items)"
"My Quotes","Mis presupuestos"
"My Quote","Mi presupuesto"
"My Quote (%s items)","Mi presupuesto (%s items)"
"My Quote (%s item)","Mi presupuesto (%s item)"
"New Address","Nueva dirección"
"No item in quote.","No existen artículos en el presupuesto."
"No Items to display.","No hay artículos para mostrar."
"Original Price","Precio original"
"Owner price","Propuesta de precio"
"Please enter an valid email address","Por favor, introduzca una dirección de correo electrónico válida"
"Please select region, state or province","Por favor, seleccione región, estado o provincia"
"Please select required qty and check out online to see applicable price.","Por favor, seleccione la cantidad requerida y realice el pago online para ver el precio aplicable."
"Please specify product quantity.","Por favor, especifique la cantidad del producto."
"Price Proposal","Propuesta de precio"
"Print Quote","Imprimir presupuesto"
"Product %s successfully added to Quote Request","El producto %s ha sido correctamente añadido a la solicitud de presupuesto"
"Product %s was deleted from your shopping cart","El producto %s se ha borrado de su carrito de la compra"
"Product Name","Nombre de producto"
"Proposal valid until","Propuesta válida hasta"
"Proposal Valid Until: %s","Propuesta válida hasta: %s"
"Qquote cancel email was't sent to admin for quote #%s","El correo electrónico para cancelar el presupuesto no ha sido enviado a administración para el presupuesto #%s"
"Qquote proposal email was't sent to the client for quote #%s","El correo electrónico con la propuesta no ha sido enviado al cliente para el presupuesto #%s"
"Qquote request email was't sent to admin for quote #%s","El correo electrónico con la solicitud de presupuesto no ha sido enviado a administración para el presupuesto #%s"
