sku,weight
53P7582,0.1
APHCSCR100T,0.57
6R90237,0.1
SDU200D,0.36
5307301,1
5345702,0.3475
5346102,0.041
3000017,0.08
5721,0.069
46705E,0.74
480656,0.033
46741,0.045
260868,0.0495
619767,0.032
01301/CS13,0.16
01601/CS16,0.162
02401/CS24,0.11
03101/CS31,0.26
03201/CS32,0.32
04801/CS48,0.408
04901/CS49,0.404
05001/CS50,0.544
05801/CS58,2.034
6801,11.18
6901,0.09
07801/CS78,0.225
07901/CS79,0.14
09801/CS98,0.14
10001/CS100,0.35
10101/CS101,0.98
48099,0.06
48199,0.132
48301,0.12
48699,0.22
50699,0.052
50799,0.07
50899,0.103
50999,0.08
52199,0.02
52299,0.115
52399,0.08
52499,0.208
62405,0.09
62705,0.15
62905,0.174
65799,0.159
65899,0.052
65999,0.22
66099,0.053
66199,0.1
66299,0.05
66399,0.04
66499,0.1
66599,0.1
66699,0.24
67099,0.177
67199,0.1
70299/J2,0.205
70399/J3,0.109
70599/J5,0.03
71199/J11,2.78
71399/J13,0.06
71499/J14,0.126
71599/J15,0.155
71799/J17,0.138
71999/J19,0.12
72098/PJ20,0.11
72099/J20,2.695
72299/J22,2.68
72699/J26,0.06
74099/J40,0.2
74499/J44,0.12
75101,1.22
75201,1.055
75301,1.276
75401,1.04
75501,1.54
75601,1.3
75701,0.956
75801,0.96
76099,0.975
76101,0.873
77099,0.05
77199,0.103
77299,0.2
77801,0.1
78202/AZ2,0.21
78602/AZ6,0.2
79501,0.08
79601,0.189
79701,0.095
79901,0.05
85710/CD14,0.9
85801/CD14P,0.52
01201/CS12,0.141
01401/CS14,0.16
01901/CS19,0.206
00201/CS2,0.05
02201/CS22,0.127
00401/CS4,0.101
04001/CS40,0.2
04501/CS45,0.276
00501/CS5,0.063
05501/CS55,0.505
05601/CS56,0.771
05701/CS57,0.977
00601/CS6,0.06
00701/CS7,0.2
07001/CS70,0.02
07101/CS71,0.059
07201/CS72,0.115
07301/CS73,0.105
07601/CS76,0.06
00801/CS8,0.11
3400927,4.28
3400928,5.986
47900E,0.4
2101007E,0.42
00901/CS9,0.28
09601/CS96,0.07
09701/CS97,0.168
09901/CS99,0.219
LXE 2950M,0.1
LXB1120/10B,0.12
LXO MS200,0.102
LXESL15,0.012
LXESL30,0.056
LXESL60,0.171
LXESL100,0.36
29110,2.171
30138967,9
37639003,2.86
37639004,0.004
37639005,15
37639022,6.55
Q201E,1.2
HPT0317,2.536
HCL0324,3.18
HCL0321,2.87
HCL1030,3.76
1758055,6.12
2101337,4.92
40060,2.28
40070,3.618
12030,0.142
12050,0.204
12121,0.58
12131AS,0.528
12153,0.545
12161GN,0.56
12161RD,0.53
12161YE,0.546
12216AS,1.304
12223AS,1.23
12600BK,1
12600BU,1.034
13045BU,0.28
2100951,0.32
2001015,0.394
13422BK,1.6
13422BU,1.584
13422RD,1.6
2101020,0.034
13680,0.14
13681,0.094
2101186,0.502
16129AS,0.19
16129BU,0.879
16129RD,0.166
16129WH,0.154
37201,0.174
AL160DR,1
71000,0.29
71011,0.501
71295,0.193
71301,0.22
71704,0.342
71707,4
75003,0.716
75150,0.857
75157,1.18
75223,0.244
75840,0.605
75841,0.6
75930,0.398
75931,0.413
75933,0.384
75951,0.3
75982,0.58
75983,0.639
75984,0.643
75985,0.667
75986,0.657
13682,0.3
2100019,0.239
6308,0.18
10015BK,0.66
10048BK,1.05
10510,1.893
10520,0.214
BJI-201C,0.1
C9153-67901,0.1
CTR365,1.43
LFH2310/00,0.1
5370301,1.42
4049512,0.1
41U2163,0.1
8937-802,0.1
LJ5828001,0.1
M4609G/C,0.1
DK6,0.1
35250,0.92
9040,0.1
LFH2320/00,0.1
QY6-0072-000,0.1
QY6-0070-000,0.1
LFH2330/00,0.1
003R98852,2.52
SRK000,0.1
C9704-67901,0.1
LFH2330,0.767
2101975,0.864
2101983,0.1
2101987,0.1
2101988,0.1
2101989,0.1
2101990,0.1
2101991,0.1
20220049,0.46
8909,1.878
28315,0.651
54838,1.382
54842,1.361
1199178102,0.18
1101667,0.426
CE050010,1.555
CE050029,1.532
CE050030,1.532
EB100000,0.66
IB387166,1.98
IB575037,0.583
IB585036,1.154
5789,0.04
5708,5.1
5739,0.459
5782,0.001
CTR363,1.41
C4110-67915,0.1
2102429,34.34
2102421,40.2
2102417,0.028
LU1177001,0.1
1465/00,0.86
1466/00,0.482
1464/00,0.222
1455/02,0.255
1458/02,0.3
2418/19,0.1
2387,0.039
2934/01,2.6
5699/00,2.84
5567/00,0.975
5570/00,2.06
5540/01,1.315
5631/22,1
5632/22,2.54
6910/00,0.065
8002,0.339
8182/00,0.32
8003,0.34
8004,0.34
8008,0.423
8221/58,0.144
8222/58,0.14
8224/19,0.361
8223/01,0.21
8225/23,0.519
8214/19,0.46
8578/19,0.604
8580/19,1.103
8050,0.888
8051,0.561
8102,0.301
8567/39,1.02
8569/39,1.9
8110,0.392
8111,0.471
8141/19,0.324
8152/58,0.135
XP205,0.078
YMWL5M-4,0.095
HPMOUNT,0.2
DMOUNT,0.418
B43000,0.14
WR0050,1.625
802422,0.257
WM-220T-SA-UH,0.19
