"%s days","%s Tage"
"Access denied!","Zugriff verweigert!"
"Account Information","Account Information"
"Action is blocked in quote confirmation mode","Aktion ist blokkiert in Anfrage Bestätigung Status"
"Add to Cart","In den Warenkorb"
"Add to Quote","zur Preisanfrage hinzufügen"
"Address","Adresse"
"All items were moved to cart successfully.","Alle Produkte wurden erfolgreich in den Warenkorb gelegt"
"Allowed to Quote Mode","Preisanfragen zulassen"
"Atr. nr.","Art.-Nr."
"Back to My Quotes","Zurück zu meinen Anfragen"
"Be advised to enter your comments","<strong>ACHTUNG:</strong> Bemerkungen usw. werden gelöscht wenn Sie diese Seite verlassen, ohne die Preisanfrage abzusenden. Wenn Sie ein Account haben können Sie sich jetzt anmelden."
"Billing address wasn't added","Rechnungsadresse ist nicht hinzugefügt"
"By deleting an item, you will create a new quote request. Do you want to do this?","Ein Produkt eliminieren macht ein neue Preis Anfrage. Wollen Sie das?"
"Can not add client note request to the product.","Kann Bemerkung nicht hinzufügen an Produkt."
"Can not add customer address.","Kann Adresse nicht hinzufügen."
"Can not add one of the items to quote request.","Kann ein dieser Produkten nicht hinzufügen an Preisanfrage."
"Cancel","Stornieren"
"Can't remove item","Kann Produkt nicht löschen"
"Can't update quote list","Kann Preisanfrage nicht aktualisieren"
"cart2quote cancel","cart2quote annulieren"
"cart2quote new account","cart2quote Neu Account"
"cart2quote proposal","cart2quote Angebot"
"cart2quote reject","cart2quote ablehnen"
"cart2quote request","cart2quote Anfrage"
"Change to Order mode?","Umschalten nach Bestellmodus?"
"Change to Quotation mode?","Umschalten nach Anfragemodus?"
"Change to Quote mode?","Umschalten nach Anfragemodus?"
"Checking..","Kontrollieren..."
"City","Ort"
"Company","Firma"
"Confirm and CheckOut","Bestätigen und weiter gehen"
"Continue","Weitergehen"
"Continue Shopping","Den Einkauf fortsetzen"
"Country","Land"
"Customer email already exists. You should login <a href=%s>here</a>","Diese E-Mail Adresse besteht schon bei uns. Bitte <a href="%s">hier einloggen</a>"
"Date","Datum"
"Date of Proposal","Angebotsdatum"
"Default Address","Standardadresse"
"Do you have a general remark with your quote request?","Haben Sie eine Anmerkung zu dieser Anfrage?"
"Edit Quote","Anfrage bearbeiten"
"Edit Request","Anfrage bearbeiten"
"Email Address","E-mail Adresse"
"Email already exists","Diese E-Mail Adresse besteht schon"
"Enter your destination to get a shipping quotation","Bitte geben Sie eine Adresse ein"
"Enter your destination to receive a shipping quotation.","Bitte vervollständigen Sie Ihre Angaben um ein unverbindliches Angebot zu erhalten"
"Fax","Fax"
"First Name","Vorname"
"Fixed Shipping & Handling price","Feststehende Versand- und Bearbeitungskosten"
